8117,1,113034
8117,1,181013
8117,1,185035
8117,1,132012
8117,1,202321
8117,2,115011
8117,2,186791
8117,2,186457
8117,2,186384
8117,2,202339
8117,3,186201
8117,3,200794
8117,3,181081
8117,3,186236
8117,3,186180
8117,3,202398
8117,4,181196
8117,4,181145
8117,4,186198
8117,4,202380
8117,5,181307
8117,5,184021
8117,5,181064
8117,5,134601
8117,6,202134
8117,6,186040
8117,6,181188
8117,6,181102
8117,7,186805
8117,8,202126
8150,1,113034
8150,1,181013
8150,1,185035
8150,1,132012
8150,1,202321
8150,2,115011
8150,2,186791
8150,2,186457
8150,2,186384
8150,2,202339
8150,3,186201
8150,3,200794
8150,3,181081
8150,3,186236
8150,3,186180
8150,3,202398
8150,4,181196
8150,4,181145
8150,4,186198
8150,4,202380
8150,5,181307
8150,5,184021
8150,5,181064
8150,5,134601
8150,6,202134
8150,6,186040
8150,6,181188
8150,6,181102
8150,7,186805
8150,8,202126
6165,1,114634
6165,1,119547
6165,1,113018
6165,1,105368
6165,1,105376
6165,1,170194
6165,1,122696
6165,2,113026
6165,2,121240
6165,2,112984
6165,2,120529
6165,2,123153
6165,2,122050
6165,2,170143
6165,3,169994
6165,3,122084
6165,3,126021
6165,3,115070
6165,3,170178
6165,4,170135
6165,4,161233
6165,4,132012
6165,4,170224
6165,4,123293
6165,4,161152
6165,5,126012
6165,5,161021
6165,5,170160
6165,5,170283
6165,5,161187
6165,5,123307
6165,5,134856
6165,6,170305
6165,6,170186
6165,6,170291
6165,7,170747
6165,7,170208
6165,7,170755
6165,7,165174
6165,8,161861
6165,8,170151
6165,8,161331
6165,9,161136
6165,9,161578
6165,9,161161
6165,10,170330
5126,1,154474
5126,1,154598
5126,1,154628
5126,1,154008
5126,1,155080
5126,1,154580
5126,2,112984
5126,2,154482
5126,2,154741
5126,2,154652
5126,2,154687
5126,2,208469
5126,3,154750
5126,3,154601
5126,3,208485
5126,3,154491
5126,3,154661
5126,3,154695
5126,4,154768
5126,4,154504
5126,4,155349
5126,4,155331
5126,4,154709
5126,5,154784
5126,5,154512
5126,5,154091
5126,5,166952
5126,5,166961
5126,5,154717
5126,6,154776
5126,6,154521
5126,6,154571
5126,6,155322
5126,6,154423
5126,7,154806
5126,7,155403
5126,7,154849
5126,7,154547
5126,8,154555
5126,8,155390
5126,9,154814
5126,9,154989
5126,9,154326
5126,10,100293
5673,1,154008
5673,1,154474
5673,1,155080
5673,1,154598
5673,1,154628
5673,2,154482
5673,2,154580
