ESTUDO DO TURISMO 1,200905,4,         Departamento: CET - Centro de Excelência em Turismo         
ESTUDO DO TURISMO 2,203505,4,         Departamento: CET - Centro de Excelência em Turismo         
ESTUDO DO TURISMO 3,206423,4,         Departamento: CET - Centro de Excelência em Turismo         
FUNDAMENTOS DE ESTATÍSTICA APLICADO AO TURISMO,102954,2,         Departamento: CET - Centro de Excelência em Turismo         
LEGISLAÇÃO TURÍSTICA,101044,2,         Departamento: CET - Centro de Excelência em Turismo         
MEMÓRIAS GASTRONÔMICAS E GUSTATIVAS,107263,4,         Departamento: CET - Centro de Excelência em Turismo         
PESQUISA EM TURISMO,104612,4,         Departamento: CET - Centro de Excelência em Turismo         
PLANEJAMENTO E GESTÃO EM TURISMO 1,101036,4,         Departamento: CET - Centro de Excelência em Turismo         
PLANEJAMENTO E GESTÃO EM TURISMO 2,102946,4,         Departamento: CET - Centro de Excelência em Turismo         
PROJETO INTEGRADOR EM TURISMO 1,203572,4,         Departamento: CET - Centro de Excelência em Turismo         
PROJETO INTEGRADOR EM TURISMO 2,208795,2,         Departamento: CET - Centro de Excelência em Turismo         
PROJETO INTEGRADOR EM TURISMO 3,102962,2,         Departamento: CET - Centro de Excelência em Turismo         
PROJETO INTEGRADOR EM TURISMO 4,107271,4,         Departamento: CET - Centro de Excelência em Turismo         
SUSTENTABILIDADE ÉTICA E TURISMO,200913,4,         Departamento: CET - Centro de Excelência em Turismo         
TURISMO E INTERPRETAÇÃO DE PATRIMÔNIO,111376,4,         Departamento: CET - Centro de Excelência em Turismo         
CULTURA E IDENTIDADE NAS AMÉRICAS,130095,4,         Departamento: PAC - Centro de Pesquisa Pós-Graduação sobre as Américas         
INTRODUÇÃO À METODOLOGIA DAS CIÊNCIAS SOCIAIS,134074,4,         Departamento: PAC - Centro de Pesquisa Pós-Graduação sobre as Américas         
PENSAMENTO SOCIAL E POLÍTICO NA AMÉRICA LATINA,130290,4,         Departamento: PAC - Centro de Pesquisa Pós-Graduação sobre as Américas         
"SOCIEDADE, CULTURA E POLÍTICA NAS AMÉRICAS",130320,4,         Departamento: PAC - Centro de Pesquisa Pós-Graduação sobre as Américas         
TÓPICOS ESPECIAIS DE METODOLOGIA QUALITATIVA 1,130087,4,         Departamento: PAC - Centro de Pesquisa Pós-Graduação sobre as Américas         
PROGRAMA INSTITUCIONAL DE BOLSA DE INICIAÇÃO À DOCÊNCIA,105635,2,         Departamento: DEG - Decanato de Ensino de Graduação         
CONSTRUÇÃO DE PROJETOS SOCIAIS MULTIDISCIPLINARES,200212,4,         Departamento: DEX - Decanato de Extensão         
ETNOLOGIA VISUAL DA IMAGEM DO NEGRO NO CINEMA,200255,4,         Departamento: DEX - Decanato de Extensão         
PENSAMENTO NEGRO CONTEMPORÂNEO,200140,4,         Departamento: DEX - Decanato de Extensão         
ABORDAGENS CRÍTICAS AO ESTUDO DE ORGANIZAÇÕES,202398,4,         Departamento: ADM - Departamento de Administração         
ADMINISTRAÇÃO DA PRODUÇÃO E OPERAÇÕES,181307,4,         Departamento: ADM - Departamento de Administração         
ADMINISTRAÇÃO DE MARKETING,181196,4,         Departamento: ADM - Departamento de Administração         
ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO,202134,4,         Departamento: ADM - Departamento de Administração         
ANÁLISE DE DECISÕES 1,181064,4,         Departamento: ADM - Departamento de Administração         
"ANÁLISE ORGANIZACIONAL, SISTEMAS E MÉTODOS",202380,4,         Departamento: ADM - Departamento de Administração         
CALCULO FINANCEIRO,186201,4,         Departamento: ADM - Departamento de Administração         
COMPORTAMENTO DO CONSUMIDOR,202151,4,         Departamento: ADM - Departamento de Administração         
COMPORTAMENTO ORGANIZACIONAL,186457,4,         Departamento: ADM - Departamento de Administração         
CRIACAO DE NEGOCIOS,186015,4,         Departamento: ADM - Departamento de Administração         
ELABORAÇÃO DE TRABALHO DE CURSO,202126,4,         Departamento: ADM - Departamento de Administração         
ESTRATEGIA EMPRESARIAL,186040,4,         Departamento: ADM - Departamento de Administração         
ESTUDOS E PESQUISAS EM ADMINISTRAÇÃO,109738,2,         Departamento: ADM - Departamento de Administração         
FINANÇAS 1,181145,4,         Departamento: ADM - Departamento de Administração         
FINANÇAS 2,202169,4,         Departamento: ADM - Departamento de Administração         
GESTÃO DA INOVAÇÃO,186066,4,         Departamento: ADM - Departamento de Administração         
GESTÃO DE DESEMPENHO,186571,4,         Departamento: ADM - Departamento de Administração         
GESTÃO DE MARCAS,109771,4,         Departamento: ADM - Departamento de Administração         
GESTÃO DE PESSOAS EM ORGANIZAÇÕES,181081,4,         Departamento: ADM - Departamento de Administração         
GESTÃO DE PROJETOS,186431,4,         Departamento: ADM - Departamento de Administração         
GESTÃO DE RESPONSABILIDADE SOCIOAMBIENTAL,202193,4,         Departamento: ADM - Departamento de Administração         
GESTÃO POR COMPETÊNCIAS,202207,4,         Departamento: ADM - Departamento de Administração         
INOVAÇÃO EM SERVIÇOS,109762,4,         Departamento: ADM - Departamento de Administração         
INTRODUCAO A ADMINISTRACAO,181013,4,         Departamento: ADM - Departamento de Administração         
INTRODUÇÃO A TEORIAS ORGANIZACIONAIS,186384,4,         Departamento: ADM - Departamento de Administração         
LOGÍSTICA EMPRESARIAL,181188,4,         Departamento: ADM - Departamento de Administração         
MACROECONOMIA APLICADA,186198,4,         Departamento: ADM - Departamento de Administração         
MARKETING DE SERVIÇOS,109801,4,         Departamento: ADM - Departamento de Administração         
MERCADO FINANCEIRO E DE CAPITAIS,181200,4,         Departamento: ADM - Departamento de Administração         
METODOLOGIA CIENTÍFICA APLICADA,186236,4,         Departamento: ADM - Departamento de Administração         
MÉTODOS E MODELOS QUANTITATIVOS DE DECISÃO 1,181102,4,         Departamento: ADM - Departamento de Administração         
MICROECONOMIA APLICADA,186180,4,         Departamento: ADM - Departamento de Administração         
NEGOCIAÇÃO,202240,4,         Departamento: ADM - Departamento de Administração         
PROJETO DE PESQUISA EM ADMINISTRAÇÃO,186805,4,         Departamento: ADM - Departamento de Administração         
SISTEMAS DE INFORMAÇÃO E COMUNICAÇÃO NO SETOR PÚBLICO,204838,4,         Departamento: ADM - Departamento de Administração         
SOCIOLOGIA APLICADA A ADMINISTRACAO,134601,4,         Departamento: ADM - Departamento de Administração         
TEORIAS DA ADMINISTRAÇÃO 2,204684,4,         Departamento: ADM - Departamento de Administração         
TÓPICOS CONTEMPORÂNEOS EM ADMINISTRAÇÃO 1,202321,2,         Departamento: ADM - Departamento de Administração         
TÓPICOS CONTEMPORÂNEOS EM ADMINISTRAÇÃO 2,202339,2,         Departamento: ADM - Departamento de Administração         
TÓPICOS CONTEMPORÂNEOS EM ESTRATÉGIA E INOVAÇÃO EM ORGANIZAÇÃO,202266,2,         Departamento: ADM - Departamento de Administração         
TÓPICOS CONTEMPORÂNEOS EM FINANÇAS,202274,2,         Departamento: ADM - Departamento de Administração         
"TÓPICOS CONTEMPORÂNEOS EM PRODUÇÃO, LOGÍSTICA E GESTÃO DA INFORMAÇÃO",202291,2,         Departamento: ADM - Departamento de Administração         
"TREINAMENTO, DESENVOLVIMENTO E EDUCAÇÃO",186554,4,         Departamento: ADM - Departamento de Administração         
ANTROPOLOGIA DA SAUDE,135313,4,         Departamento: DAN - Departamento de Antropologia         
ANTROPOLOGIA URBANA,135518,4,         Departamento: DAN - Departamento de Antropologia         
ARTES E OFÍCIOS DOS SABERES TRADICIONAIS,201154,6,         Departamento: DAN - Departamento de Antropologia         
DISSERTACAO,135097,20,         Departamento: DAN - Departamento de Antropologia         
ESTUDOS AFRO-BRASILEIROS,135364,4,         Departamento: DAN - Departamento de Antropologia         
EXCURSAO DIDATICA DE PESQUISA (EDP),135232,16,         Departamento: DAN - Departamento de Antropologia         
INTRODUÇÃO À ANTROPOLOGIA,135011,4,         Departamento: DAN - Departamento de Antropologia         
MÉTODOS E TÉCNICAS EM ANTROPOLOGIA SOCIAL,135186,6,         Departamento: DAN - Departamento de Antropologia         
PENSAMENTO ANTROPOLÓGICO BRASILEIRO,135496,4,         Departamento: DAN - Departamento de Antropologia         
SEMINARIO DE PESQUISA ANTROPOLOGICA,135003,6,         Departamento: DAN - Departamento de Antropologia         
SOCIEDADES INDIGENAS,135381,4,         Departamento: DAN - Departamento de Antropologia         
TEORIA ANTROPOLÓGICA 1,135194,4,         Departamento: DAN - Departamento de Antropologia         
TEORIA ANTROPOLÓGICA 2,135208,4,         Departamento: DAN - Departamento de Antropologia         
TOPICOS ESPECIAIS EM ANTROPOLOGIA 3,135411,4,         Departamento: DAN - Departamento de Antropologia         
A PALAVRA EM PERFORMANCE,158186,4,         Departamento: CEN - Departamento de Artes Cênicas         
A VOZ EM PERFORMANCE,158178,4,         Departamento: CEN - Departamento de Artes Cênicas         
CRITICA TEATRAL,156744,4,         Departamento: CEN - Departamento de Artes Cênicas         
DIPLOMAÇÃO EM ARTES CÊNICAS 1,158402,8,         Departamento: CEN - Departamento de Artes Cênicas         
DIPLOMAÇÃO EM ARTES CÊNICAS 2,158411,12,         Departamento: CEN - Departamento de Artes Cênicas         
DIPLOMAÇÃO EM INTERPRETAÇÃO TEATRAL,106101,10,         Departamento: CEN - Departamento de Artes Cênicas         
DIRECAO 1,153842,6,         Departamento: CEN - Departamento de Artes Cênicas         
"ELEMENTO DE LINGUAGEM, ARTE E CULTURA",156914,6,         Departamento: CEN - Departamento de Artes Cênicas         
ENCENAÇÃO TEATRAL 1,158313,6,         Departamento: CEN - Departamento de Artes Cênicas         
ENCENAÇÃO TEATRAL 2,158321,6,         Departamento: CEN - Departamento de Artes Cênicas         
