4529,Francês,Bacharel,180,Diurno,Presencial
4511,Inglês,Bacharel,180,Diurno,Presencial
4626,Letras-tradução Espanhol,Bacharel,168,Noturno,Presencial
698,Língua De Sinais Brasileira/português Como Segunda Língua,Licenciado,164,Diurno,Presencial
4090,Línguas Estrangeiras Aplicadas - Msi,Bacharel,192,Diurno,Presencial
1325,Matemática,Licenciado,188,Diurno,Presencial
1341,Matemática,Bacharel,168,Diurno,Presencial
1368,Matemática,Licenciado,188,Noturno,Presencial
61182,Matemática - Segunda Licenciatura,Licenciado,0,Noturno,Presencial
7111,Medicina,Médico,528,Diurno,Presencial
6181,Medicina Veterinária,Médico Veterinário,280,Diurno,Presencial
8265,Museologia,Bacharel,169,Diurno,Presencial
5223,Canto,Bacharel,138,Diurno,Presencial
5541,Clarineta,Bacharel,138,Diurno,Presencial
5614,ComposiÇÃo,Bacharel,222,Diurno,Presencial
5266,Contrabaixo,Bacharel,138,Diurno,Presencial
5576,Fagote,Bacharel,138,Diurno,Presencial
5584,Flauta,Bacharel,138,Diurno,Presencial
5550,OboÉ,Bacharel,138,Diurno,Presencial
5592,Piano,Bacharel,138,Diurno,Presencial
5622,RegÊncia,Bacharel,222,Diurno,Presencial
5274,Saxofone,Bacharel,138,Diurno,Presencial
5631,Trombone,Bacharel,138,Diurno,Presencial
5568,Trompa,Bacharel,138,Diurno,Presencial
5258,Trompete,Bacharel,138,Diurno,Presencial
5525,Viola,Bacharel,138,Diurno,Presencial
5282,ViolÃo,Bacharel,138,Diurno,Presencial
5517,Violino,Bacharel,138,Diurno,Presencial
5533,Violoncelo,Bacharel,138,Diurno,Presencial
434,Música,Licenciado,190,Diurno,Presencial
5606,Música,Licenciado,190,Noturno,Presencial
7510,Nutrição,Nutricionista,240,Diurno,Presencial
7218,Odontologia,Cirurgião Dentista,267,Diurno,Presencial
9229,Pedagogia,Licenciado,214,Diurno,Presencial
9245,Pedagogia,Licenciado,214,Noturno,Presencial
531,Pedagogia - 1ª Licenciatura,Licenciado,214,Diurno,Presencial
2712,Bacharelado Em Psicologia,Bacharel,228,Diurno,Presencial
2721,Licenciatura Em Psicologia,Licenciado,230,Diurno,Presencial
2739,Psicologia-psicÓlogo,Psicólogo,282,Diurno,Presencial
1449,Química,Bacharel,210,Diurno,Presencial
1503,Química,Licenciado,203,Noturno,Presencial
1589,Química Tecnológica,Bacharel,220,Diurno,Presencial
3727,Bacharelado Em Relações Internacionais,Bacharel,186,Diurno,Presencial
7161,Saúde Coletiva,Bacharel,215,Noturno,Presencial
